season,name,position,value,value_delta,minutes,total_points,total_points_range,assists,goals_scored,goals_conceded,saves,own_goals,penalties_missed,penalties_saved,clean_sheets,creativity,threat,influence,bps,minutes,yellow_cards,red_cards,plays_for,opponent_team,was_home,is_won,month_of_match,time_of_match,win_expectation,date_of_match
2021-22,Eric Bailly,DEF,50,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,Man United,Leeds,True,1,8,12:30,3.758169934640523,2021-08-14
2021-22,Keinan Davis,FWD,45,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,Aston Villa,Watford,False,-1,8,15:00,1.3080168776371308,2021-08-14
2021-22,Ayotomiwa Dele-Bashiru,MID,45,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,Watford,Aston Villa,True,1,8,15:00,0.7645161290322581,2021-08-14
2021-22,James Ward-Prowse,MID,65,0.0,90,2,1,0,0,3,0,0,0,0,0,30.5,0.0,21.6,20,90,0,0,Southampton,Everton,False,-1,8,15:00,0.475,2021-08-14
2021-22,Bruno Miguel Borges Fernandes,MID,120,0.0,90,20,3,0,3,1,0,0,0,0,0,35.9,59.0,106.2,61,90,0,0,Man United,Leeds,True,1,8,12:30,3.758169934640523,2021-08-14
2021-22,Adrián San Miguel del Castillo,GK,45,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,Liverpool,Norwich,False,1,8,17:30,6.9230769230769225,2021-08-14
2021-22,James McArthur,MID,45,0.0,90,2,1,0,0,3,0,0,0,0,0,26.0,4.0,24.8,22,90,0,0,Crystal Palace,Chelsea,False,-1,8,15:00,0.09615384615384616,2021-08-14
2021-22,Kwadwo Baah,MID,45,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,Watford,Aston Villa,True,1,8,15:00,0.7645161290322581,2021-08-14
2021-22,Paul Dummett,DEF,45,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,Newcastle,West Ham,True,-1,8,14:00,0.6875,2021-08-15
2021-22,Jairo Riedewald,MID,50,0.0,76,2,1,0,0,3,0,0,0,0,0,5.4,0.0,2.8,8,76,0,0,Crystal Palace,Chelsea,False,-1,8,15:00,0.09615384615384616,2021-08-14
2021-22,Alexis Mac Allister,MID,55,0.0,14,9,2,0,1,0,0,0,0,0,0,0.4,17.0,38.2,28,14,0,0,Brighton,Burnley,False,1,8,15:00,1.2653061224489794,2021-08-14
2021-22,Alireza Jahanbakhsh,MID,55,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,Brighton,Burnley,False,1,8,15:00,1.2653061224489794,2021-08-14
2021-22,Willy Boly,DEF,50,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,Wolves,Leicester,False,-1,8,15:00,0.3161904761904762,2021-08-14
2021-22,José Diogo Dalot Teixeira,DEF,45,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,Man United,Leeds,True,1,8,12:30,3.758169934640523,2021-08-14
