season,name,position,value,value_delta,minutes,total_points,total_points_range,assists,goals_scored,goals_conceded,saves,own_goals,penalties_missed,penalties_saved,clean_sheets,creativity,threat,influence,bps,minutes,yellow_cards,red_cards,plays_for,opponent_team,was_home,is_won,month_of_match,time_of_match,win_expectation,date_of_match
2022-23,Nathan Redmond,MID,55,0.0,1,1,1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,3,1,0,0,Southampton,Tottenham,False,-1,8,15:00,0.15647058823529414,2022-08-06
2022-23,Junior Stanislas,MID,50,0.0,1,1,1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,3,1,0,0,Bournemouth,Aston Villa,True,1,8,15:00,0.5333333333333333,2022-08-06
2022-23,Armando Broja,FWD,55,0.0,15,1,1,0,0,0,0,0,0,0,0,0.3,19.0,5.2,3,15,0,0,Chelsea,Everton,False,1,8,17:30,3.4161490683229814,2022-08-06
2022-23,Fabian Schär,DEF,45,0.0,90,15,3,0,1,0,0,0,0,0,1,14.6,25.0,66.0,43,90,0,0,Newcastle,Nott'm Forest,True,1,8,15:00,3.162650602409639,2022-08-06
2022-23,Jonny Evans,DEF,45,0.0,90,1,1,0,0,2,0,0,0,0,0,1.3,0.0,14.0,15,90,0,0,Leicester,Brentford,True,0,8,14:00,1.75,2022-08-07
2022-23,Brennan Johnson,FWD,60,0.0,90,2,1,0,0,2,0,0,0,0,0,0.9,6.0,0.0,3,90,0,0,Nott'm Forest,Newcastle,False,-1,8,15:00,0.3161904761904762,2022-08-06
2022-23,Cheick Doucouré,MID,50,0.0,74,2,1,0,0,1,0,0,0,0,0,3.8,0.0,5.8,16,74,0,0,Crystal Palace,Arsenal,True,-1,8,20:00,0.44047619047619047,2022-08-05
2022-23,Oliver Hammond,MID,45,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,Nott'm Forest,Newcastle,False,-1,8,15:00,0.3161904761904762,2022-08-06
2022-23,Luke Cundle,MID,45,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,Wolves,Leeds,False,-1,8,15:00,0.703125,2022-08-06
2022-23,Fin Stevens,DEF,40,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,Brentford,Leicester,False,0,8,14:00,0.5714285714285714,2022-08-07
2022-23,Brandon Austin,GK,40,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,Tottenham,Southampton,True,1,8,15:00,6.390977443609022,2022-08-06
2022-23,Luka Milivojevic,MID,45,0.0,15,1,1,0,0,1,0,0,0,0,0,1.4,0.0,0.8,3,15,0,0,Crystal Palace,Arsenal,True,-1,8,20:00,0.44047619047619047,2022-08-05
2022-23,Wesley Fofana,DEF,45,0.0,90,1,1,0,0,2,0,0,0,0,0,3.3,6.0,19.2,12,90,0,0,Leicester,Brentford,True,0,8,14:00,1.75,2022-08-07
2022-23,Gianluca Scamacca,FWD,70,0.0,33,1,1,0,0,1,0,0,0,0,0,0.7,0.0,0.0,1,33,0,0,West Ham,Man City,True,-1,8,16:30,0.17,2022-08-07
2022-23,Alisson Ramses Becker,GK,55,0.0,90,1,1,0,0,2,1,0,0,0,0,0.0,0.0,8.2,11,90,0,0,Liverpool,Fulham,False,0,8,12:30,8.8,2022-08-06
2022-23,Che Adams,FWD,65,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,Southampton,Tottenham,False,-1,8,15:00,0.15647058823529414,2022-08-06
2022-23,Sam Greenwood,FWD,45,0.0,17,1,1,0,0,0,0,0,0,0,0,0.5,21.0,0.4,4,17,0,0,Leeds,Wolves,True,1,8,15:00,1.4222222222222223,2022-08-06
2022-23,Nathaniel Chalobah,MID,45,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,Fulham,Liverpool,True,0,8,12:30,0.11363636363636363,2022-08-06
2022-23,Nathaniel Phillips,DEF,40,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,Liverpool,Fulham,False,0,8,12:30,8.8,2022-08-06
2022-23,Loïc Mbe Soh,DEF,45,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,Nott'm Forest,Newcastle,False,-1,8,15:00,0.3161904761904762,2022-08-06
2022-23,Jason Steele,GK,40,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,Brighton,Man United,False,1,8,14:00,0.3047619047619048,2022-08-07
2022-23,Tosin Adarabioyo,DEF,45,0.0,90,1,1,0,0,2,0,0,0,0,0,0.4,0.0,18.4,11,90,0,0,Fulham,Liverpool,True,0,8,12:30,0.11363636363636363,2022-08-06
2022-23,Kalvin Phillips,MID,50,0.0,1,1,1,0,0,0,0,0,0,0,0,0.5,0.0,0.6,3,1,0,0,Man City,West Ham,False,1,8,16:30,5.88235294117647,2022-08-07
2022-23,Carlos Ribeiro Dias,MID,45,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,Nott'm Forest,Newcastle,False,-1,8,15:00,0.3161904761904762,2022-08-06
2022-23,Marek Rodák,GK,45,0.0,90,1,1,0,0,2,1,0,0,0,0,0.0,0.0,10.2,11,90,0,0,Fulham,Liverpool,True,0,8,12:30,0.11363636363636363,2022-08-06
2022-23,Ryan Fraser,MID,55,0.0,9,1,1,0,0,0,0,0,0,0,0,10.3,0.0,2.2,4,9,0,0,Newcastle,Nott'm Forest,True,1,8,15:00,3.162650602409639,2022-08-06
