,season,name,position,value,value_delta,adjusted_points_range,assists,goals_scored,goals_conceded,saves,own_goals,penalties_missed,penalties_saved,clean_sheets,creativity,threat,influence,bps,minutes,yellow_cards,red_cards,plays_for,opponent_team,was_home,is_won,month_of_match,time_of_match,win_expectation,date_of_match
30,2018-19,Alisson Ramses becker,GK,55,0.0,2,0,0,0,2,0,0,0,1,0.0,0.0,17.6,31,90,0,0,Liverpool,West Ham,True,1,8,13:30,11.2,2018-08-12
31,2018-19,Anders Lindegaard,GK,45,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,Burnley,Southampton,False,0,8,13:30,0.37,2018-08-12
32,2018-19,Ander Herrera,MID,50,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,Man United,Leicester,True,1,8,20:00,4.777070063694267,2018-08-10
33,2018-19,Andreas Christensen,DEF,55,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,Chelsea,Huddersfield,False,1,8,15:00,4.037267080745341,2018-08-11
34,2018-19,Andreas Pereira,MID,50,0.0,0,0,0,1,0,0,0,0,0,5.8,0.0,22.2,13,90,1,0,Man United,Leicester,True,1,8,20:00,4.777070063694267,2018-08-10
35,2018-19,Andrew Robertson,DEF,60,0.0,2,1,0,0,0,0,0,0,1,30.3,10.0,32.2,41,90,0,0,Liverpool,West Ham,True,1,8,13:30,11.2,2018-08-12
36,2018-19,Andrew Surman,MID,50,0.0,1,0,0,0,0,0,0,0,1,3.6,3.0,8.8,8,90,0,0,Bournemouth,Cardiff,True,1,8,15:00,2.368421052631579,2018-08-11
37,2018-19,Andre Gray,FWD,60,0.0,0,0,0,0,0,0,0,0,1,25.2,27.0,7.0,8,73,0,0,Watford,Brighton,True,1,8,15:00,1.4345991561181433,2018-08-11
38,2018-19,Andriy Yarmolenko,MID,70,0.0,0,0,0,1,0,0,0,0,0,0.8,0.0,1.4,3,23,0,0,West Ham,Liverpool,False,-1,8,13:30,0.08928571428571429,2018-08-12
39,2018-19,Andros Townsend,MID,60,0.0,1,0,0,0,0,0,0,0,1,17.5,18.0,27.6,9,87,0,0,Crystal Palace,Fulham,False,1,8,15:00,0.8333333333333334,2018-08-11
40,2018-19,André filipe Tavares gomes,MID,55,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,Everton,Wolves,False,0,8,17:30,0.7181818181818183,2018-08-11
41,2018-19,André-frank Zambo anguissa,MID,45,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,Fulham,Crystal Palace,True,-1,8,15:00,1.2,2018-08-11
42,2018-19,André Schürrle,MID,60,0.0,0,0,0,1,0,0,0,0,0,22.2,4.0,3.6,8,60,0,0,Fulham,Crystal Palace,True,-1,8,15:00,1.2,2018-08-11
43,2018-19,Andy Carroll,FWD,55,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,West Ham,Liverpool,False,-1,8,13:30,0.08928571428571429,2018-08-12
44,2018-19,Angelo Ogbonna,DEF,45,0.0,0,0,0,4,0,0,0,0,0,13.2,2.0,20.0,16,90,0,0,West Ham,Liverpool,False,-1,8,13:30,0.08928571428571429,2018-08-12
45,2018-19,Angus Gunn,GK,45,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,Southampton,Burnley,True,0,8,13:30,2.7027027027027026,2018-08-12
46,2018-19,Anthony Knockaert,MID,55,0.0,0,0,0,2,0,0,0,0,0,4.4,22.0,9.4,4,90,0,0,Brighton,Watford,False,-1,8,15:00,0.6970588235294118,2018-08-11
47,2018-19,Anthony Martial,MID,75,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,Man United,Leicester,True,1,8,20:00,4.777070063694267,2018-08-10
48,2018-19,Anthony Pilkington,MID,45,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,Cardiff,Bournemouth,False,-1,8,15:00,0.4222222222222222,2018-08-11
49,2018-19,Antonio Rüdiger,DEF,60,0.0,2,0,0,0,0,0,0,0,1,11.9,21.0,20.6,35,90,0,0,Chelsea,Huddersfield,False,1,8,15:00,4.037267080745341,2018-08-11
50,2018-19,Antonio Valencia,DEF,65,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,Man United,Leicester,True,1,8,20:00,4.777070063694267,2018-08-10
51,2018-19,Aron Gunnarsson,MID,45,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,Cardiff,Bournemouth,False,-1,8,15:00,0.4222222222222222,2018-08-11
52,2018-19,Arthur Masuaku,MID,45,0.0,0,0,0,4,0,0,0,0,0,0.7,0.0,21.0,16,90,0,0,West Ham,Liverpool,False,-1,8,13:30,0.08928571428571429,2018-08-12
53,2018-19,Artur Boruc,GK,40,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,Bournemouth,Cardiff,True,1,8,15:00,2.368421052631579,2018-08-11
54,2018-19,Ashley darel jazz Richards,DEF,40,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,Cardiff,Bournemouth,False,-1,8,15:00,0.4222222222222222,2018-08-11
55,2018-19,Ashley Barnes,FWD,60,0.0,0,0,0,0,0,0,0,0,0,10.3,7.0,5.2,4,14,0,0,Burnley,Southampton,False,0,8,13:30,0.37,2018-08-12
56,2018-19,Ashley Westwood,MID,45,0.0,1,0,0,0,0,0,0,0,1,25.3,9.0,15.4,13,90,0,0,Burnley,Southampton,False,0,8,13:30,0.37,2018-08-12
57,2018-19,Ashley Williams,DEF,45,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,Everton,Wolves,False,0,8,17:30,0.7181818181818183,2018-08-11
58,2018-19,Ashley Young,DEF,60,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,Man United,Leicester,True,1,8,20:00,4.777070063694267,2018-08-10
59,2018-19,Asmir Begovic,GK,45,0.0,1,0,0,0,1,0,0,0,1,0.0,0.0,10.0,21,90,0,0,Bournemouth,Cardiff,True,1,8,15:00,2.368421052631579,2018-08-11
60,2018-19,Aymeric Laporte,DEF,55,0.0,1,0,0,0,0,0,0,0,1,1.3,37.0,14.2,21,90,0,0,Man City,Arsenal,False,1,8,16:00,2.0512820512820515,2018-08-12
61,2018-19,Ayoze Pérez,FWD,65,0.0,0,0,0,2,0,0,0,0,0,13.1,17.0,15.6,9,80,0,0,Newcastle,Tottenham,True,-1,8,12:30,0.5230769230769231,2018-08-11
62,2018-19,Bakary Sako,MID,50,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,Crystal Palace,Fulham,False,1,8,15:00,0.8333333333333334,2018-08-11
63,2018-19,Bamidele Alli,MID,90,0.0,2,0,1,1,0,0,0,0,0,2.9,58.0,59.2,34,79,0,0,Tottenham,Newcastle,False,1,8,12:30,1.9117647058823528,2018-08-11
64,2018-19,Barry Douglas,DEF,50,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,Wolves,Everton,True,0,8,17:30,1.3924050632911391,2018-08-11
65,2018-19,Beni Baningime,MID,45,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,Everton,Wolves,False,0,8,17:30,0.7181818181818183,2018-08-11
66,2018-19,Benjamin Chilwell,DEF,50,0.0,0,0,0,2,0,0,0,0,0,40.3,2.0,13.4,12,90,0,0,Leicester,Man United,False,-1,8,20:00,0.20933333333333334,2018-08-10
67,2018-19,Benjamin Mendy,DEF,60,0.0,3,2,0,0,0,0,0,0,1,28.0,29.0,56.8,46,90,0,0,Man City,Arsenal,False,1,8,16:00,2.0512820512820515,2018-08-12
68,2018-19,Ben Davies,DEF,60,0.0,0,0,0,1,0,0,0,0,0,28.4,20.0,20.6,15,90,0,0,Tottenham,Newcastle,False,1,8,12:30,1.9117647058823528,2018-08-11
69,2018-19,Ben Foster,GK,45,0.0,1,0,0,0,0,0,0,0,1,10.0,0.0,7.4,23,90,0,0,Watford,Brighton,True,1,8,15:00,1.4345991561181433,2018-08-11
70,2018-19,Ben Gibson,DEF,50,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,Burnley,Southampton,False,0,8,13:30,0.37,2018-08-12
71,2018-19,Ben Hamer,GK,40,0.0,0,0,0,3,1,0,0,0,0,0.0,0.0,13.2,11,90,0,0,Huddersfield,Chelsea,True,-1,8,15:00,0.2476923076923077,2018-08-11
72,2018-19,Ben Mee,DEF,50,0.0,2,0,0,0,0,0,0,0,1,10.8,6.0,34.4,31,90,0,0,Burnley,Southampton,False,0,8,13:30,0.37,2018-08-12
73,2018-19,Beram Kayal,MID,45,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,Brighton,Watford,False,-1,8,15:00,0.6970588235294118,2018-08-11
74,2018-19,Bernardo mota Veiga de carvalho e silva,MID,75,0.0,2,0,1,0,0,0,0,0,1,6.1,23.0,35.6,23,90,0,0,Man City,Arsenal,False,1,8,16:00,2.0512820512820515,2018-08-12
75,2018-19,Bernardo Fernandes da silva junior,DEF,45,0.0,0,0,0,2,0,0,0,0,0,1.8,0.0,18.0,11,90,1,0,Brighton,Watford,False,-1,8,15:00,0.6970588235294118,2018-08-11
76,2018-19,Bernard Anício caldeira duarte,MID,60,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,Everton,Wolves,False,0,8,17:30,0.7181818181818183,2018-08-11
77,2018-19,Bernd Leno,GK,50,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,Arsenal,Man City,True,-1,8,16:00,0.4875,2018-08-12
78,2018-19,Bobby Reid,FWD,55,0.0,0,0,0,1,0,0,0,0,0,25.8,35.0,8.0,8,87,0,0,Cardiff,Bournemouth,False,-1,8,15:00,0.4222222222222222,2018-08-11
79,2018-19,Bonatini lohner maia Bonatini,FWD,50,0.0,0,0,0,0,0,0,0,0,0,2.0,6.0,1.2,3,19,0,0,Wolves,Everton,True,0,8,17:30,1.3924050632911391,2018-08-11
80,2018-19,Brahim Diaz,MID,50,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,Man City,Arsenal,False,1,8,16:00,2.0512820512820515,2018-08-12
81,2018-19,Bright Enobakhare,MID,45,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,Wolves,Everton,True,0,8,17:30,1.3924050632911391,2018-08-11
82,2018-19,Bruno Ecuele manga,DEF,45,0.0,0,0,0,2,0,0,0,0,0,0.2,0.0,15.4,8,90,0,0,Cardiff,Bournemouth,False,-1,8,15:00,0.4222222222222222,2018-08-11
83,2018-19,Bruno Saltor grau,DEF,45,0.0,0,0,0,0,0,0,0,0,0,14.6,0.0,6.4,6,25,0,0,Brighton,Watford,False,-1,8,15:00,0.6970588235294118,2018-08-11
84,2018-19,Çaglar Söyüncü,DEF,50,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,Leicester,Man United,False,-1,8,20:00,0.20933333333333334,2018-08-10
85,2018-19,Callum Hudson-odoi,MID,45,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,Chelsea,Huddersfield,False,1,8,15:00,4.037267080745341,2018-08-11
86,2018-19,Callum Paterson,MID,55,0.0,0,0,0,1,0,0,0,0,0,11.3,18.0,7.4,10,62,0,0,Cardiff,Bournemouth,False,-1,8,15:00,0.4222222222222222,2018-08-11
87,2018-19,Callum Wilson,FWD,60,0.0,2,1,1,0,0,0,1,0,1,20.2,103.0,58.6,31,90,0,0,Bournemouth,Cardiff,True,1,8,15:00,2.368421052631579,2018-08-11
88,2018-19,Calum Chambers,DEF,45,0.0,0,0,0,2,0,0,0,0,0,0.6,0.0,30.4,22,90,0,0,Fulham,Crystal Palace,True,-1,8,15:00,1.2,2018-08-11
89,2018-19,Carlos Sánchez,MID,45,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,West Ham,Liverpool,False,-1,8,13:30,0.08928571428571429,2018-08-12
90,2018-19,Cenk Tosun,FWD,70,0.0,1,1,0,2,0,0,0,0,0,17.2,11.0,25.0,18,80,0,0,Everton,Wolves,False,0,8,17:30,0.7181818181818183,2018-08-11
91,2018-19,Cesc Fàbregas,MID,65,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,Chelsea,Huddersfield,False,1,8,15:00,4.037267080745341,2018-08-11
92,2018-19,Chancel Mbemba,DEF,40,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,Newcastle,Tottenham,True,-1,8,12:30,0.5230769230769231,2018-08-11
93,2018-19,Charlie Austin,FWD,60,0.0,0,0,0,0,0,0,0,0,1,21.8,8.0,5.2,5,71,0,0,Southampton,Burnley,True,0,8,13:30,2.7027027027027026,2018-08-12
94,2018-19,Charlie Daniels,DEF,45,0.0,1,0,0,0,0,0,0,0,1,17.0,2.0,13.4,22,90,1,0,Bournemouth,Cardiff,True,1,8,15:00,2.368421052631579,2018-08-11
95,2018-19,Charlie Taylor,DEF,45,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,2,3,0,0,Burnley,Southampton,False,0,8,13:30,0.37,2018-08-12
96,2018-19,Cheikhou Kouyaté,MID,50,0.0,0,0,0,0,0,0,0,0,0,0.0,17.0,5.0,3,2,0,0,Crystal Palace,Fulham,False,1,8,15:00,0.8333333333333334,2018-08-11
