season,name,position,value,value_delta,minutes,total_points,total_points_range,assists,goals_scored,goals_conceded,saves,own_goals,penalties_missed,penalties_saved,clean_sheets,creativity,threat,influence,bps,minutes,yellow_cards,red_cards,plays_for,opponent_team,was_home,is_won,month_of_match,time_of_match,win_expectation,date_of_match
2020-21,Aaron Connolly,FWD,55,0.0,45,1,1,0,0,2,0,0,0,0,0,0.3,32.0,1.2,-3,45,0,0,Brighton,Chelsea,True,-1,9,20:15,0.322,2020-09-14
2020-21,Aaron Cresswell,DEF,50,0.0,90,1,1,0,0,2,0,0,0,0,0,11.2,0.0,10.4,11,90,0,0,West Ham,Newcastle,True,-1,9,20:00,1.5813953488372092,2020-09-12
2020-21,Aaron Mooy,MID,50,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,Brighton,Chelsea,True,-1,9,20:15,0.322,2020-09-14
2020-21,Aaron Ramsdale,GK,50,0.0,90,1,1,0,0,2,2,0,0,0,0,0.0,0.0,18.2,12,90,0,0,Sheffield United,Wolves,True,-1,9,18:00,0.7292307692307692,2020-09-14
2020-21,Abdoulaye Doucouré,MID,55,0.0,90,3,1,0,0,0,0,0,0,0,1,44.6,4.0,20.4,20,90,0,0,Everton,Tottenham,False,1,9,16:30,0.42263279445727486,2020-09-13
2020-21,Aboubakar Kamara,MID,50,0.0,62,2,1,0,0,3,0,0,0,0,0,1.8,5.0,0.0,-2,62,0,0,Fulham,Arsenal,True,-1,9,12:30,0.255,2020-09-12
2020-21,Adama Traoré,MID,65,0.0,90,3,1,0,0,0,0,0,0,0,1,1.8,17.0,12.8,6,90,0,0,Wolves,Sheffield United,False,1,9,18:00,1.371308016877637,2020-09-14
2020-21,Adam Forshaw,MID,50,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,Leeds,Liverpool,False,-1,9,17:30,0.13473684210526315,2020-09-12
2020-21,Adam Lallana,MID,65,0.0,44,1,1,0,0,1,0,0,0,0,0,27.2,2.0,6.8,6,44,0,0,Brighton,Chelsea,True,-1,9,20:15,0.322,2020-09-14
2020-21,Adam Webster,DEF,45,0.0,90,1,1,0,0,3,0,0,0,0,0,11.8,1.0,14.8,14,90,0,0,Brighton,Chelsea,True,-1,9,20:15,0.322,2020-09-14
