season,name,position,value,value_delta,minutes,total_points,total_points_range,assists,goals_scored,goals_conceded,saves,own_goals,penalties_missed,penalties_saved,clean_sheets,creativity,threat,influence,bps,minutes,yellow_cards,red_cards,plays_for,opponent_team,was_home,is_won,month_of_match,time_of_match,win_expectation,date_of_match
2016-17,Aaron Cresswell,DEF,55,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,0,0,0,0,West Ham,Chelsea,False,-1,8,20:00,0.27499999999999997,2016-08-15
2016-17,Aaron Lennon,MID,60,0.0,15,1,1,0,0,0,0,0,0,0,0,0.3,0,8.2,6,15,0,0,Everton,Tottenham,True,0,8,15:00,0.7499999999999999,2016-08-13
2016-17,Aaron Ramsey,MID,80,0.0,60,2,1,0,0,3,0,0,0,0,0,4.9,23,2.2,5,60,0,0,Arsenal,Liverpool,True,-1,8,16:00,1.2916666666666667,2016-08-14
2016-17,Abdoulaye Doucouré,MID,50,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,0,0,0,0,Watford,Southampton,False,0,8,15:00,0.36,2016-08-13
2016-17,Abdul rahman Baba,DEF,55,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,0,0,0,0,Chelsea,West Ham,True,1,8,20:00,3.6363636363636367,2016-08-15
2016-17,Abel Hernández,FWD,60,0.0,90,5,2,1,0,1,0,0,0,0,0,12.2,30,14.4,10,90,0,0,Hull,Leicester,True,1,8,12:30,0.4244444444444444,2016-08-13
2016-17,Adama Diomande,FWD,45,0.0,90,8,2,0,1,1,0,0,0,0,0,16.8,45,45.2,29,90,0,0,Hull,Leicester,True,1,8,12:30,0.4244444444444444,2016-08-13
2016-17,Adam Clayton,MID,45,0.0,90,2,1,0,0,1,0,0,0,0,0,2.2,9,3.2,6,90,0,0,Middlesbrough,Stoke,True,0,8,15:00,1.4285714285714286,2016-08-13
2016-17,Adam Federici,GK,45,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,0,0,0,0,Bournemouth,Man United,True,-1,8,13:30,0.38947368421052636,2016-08-14
2016-17,Adam Forshaw,MID,45,0.0,69,1,1,0,0,1,0,0,0,0,0,1.3,0,2.0,3,69,1,0,Middlesbrough,Stoke,True,0,8,15:00,1.4285714285714286,2016-08-13
2016-17,Adam Lallana,MID,70,0.0,75,11,3,1,1,3,0,0,0,0,0,33.7,57,51.2,33,75,1,0,Liverpool,Arsenal,False,1,8,16:00,0.7741935483870968,2016-08-14
2016-17,Adam Matthews,DEF,40,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,0,0,0,0,Sunderland,Man City,False,-1,8,17:30,0.08333333333333333,2016-08-13
2016-17,Adam Reach,MID,45,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,0,0,0,0,Middlesbrough,Stoke,True,0,8,15:00,1.4285714285714286,2016-08-13
2016-17,Adam Smith,DEF,45,0.0,90,7,2,0,1,3,0,0,0,0,0,4.3,27,42.4,23,90,0,0,Bournemouth,Man United,True,-1,8,13:30,0.38947368421052636,2016-08-14
2016-17,Adlène Guédioura,MID,45,0.0,72,1,1,0,0,1,0,0,0,0,0,13.7,3,5.6,7,72,1,0,Watford,Southampton,False,0,8,15:00,0.36,2016-08-13
2016-17,Adnan Januzaj,MID,55,0.0,27,1,1,0,0,1,0,0,0,0,0,0.3,0,3.2,4,27,0,0,Sunderland,Man City,False,-1,8,17:30,0.08333333333333333,2016-08-13
2016-17,Adrián San miguel del castillo,GK,50,0.0,90,2,1,0,0,2,4,0,0,0,0,0.0,0,29.8,16,90,0,0,West Ham,Chelsea,False,-1,8,20:00,0.27499999999999997,2016-08-15
2016-17,Ahmed Elmohamady,MID,50,0.0,90,2,1,0,0,1,0,0,0,0,0,11.4,4,9.2,14,90,0,0,Hull,Leicester,True,1,8,12:30,0.4244444444444444,2016-08-13
2016-17,Ahmed Musa,FWD,75,0.0,90,2,1,0,0,2,0,0,0,0,0,46.4,8,5.0,9,90,0,0,Leicester,Hull,False,-1,8,12:30,2.356020942408377,2016-08-13
2016-17,Alberto Moreno,DEF,50,0.0,90,0,0,0,0,3,0,0,0,0,0,15.5,0,7.0,5,90,1,0,Liverpool,Arsenal,False,1,8,16:00,0.7741935483870968,2016-08-14
2016-17,Albert Adomah,MID,55,0.0,90,2,1,0,0,1,0,0,0,0,0,19.9,23,8.4,2,90,0,0,Middlesbrough,Stoke,True,0,8,15:00,1.4285714285714286,2016-08-13
2016-17,Aleksandar Kolarov,DEF,60,0.0,90,1,1,0,0,1,0,0,0,0,0,3.8,2,31.8,16,90,1,0,Man City,Sunderland,True,1,8,17:30,12.0,2016-08-13
2016-17,Alexander Manninger,GK,40,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,0,0,0,0,Liverpool,Arsenal,False,1,8,16:00,0.7741935483870968,2016-08-14
2016-17,Alexis Sánchez,MID,110,0.0,90,2,1,0,0,4,0,0,0,0,0,15.3,14,5.4,0,90,0,0,Arsenal,Liverpool,True,-1,8,16:00,1.2916666666666667,2016-08-14
2016-17,Alex Baptiste,DEF,40,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,0,0,0,0,Middlesbrough,Stoke,True,0,8,15:00,1.4285714285714286,2016-08-13
2016-17,Alex Bruce,DEF,40,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,0,0,0,0,Hull,Leicester,True,1,8,12:30,0.4244444444444444,2016-08-13
2016-17,Alex Iwobi,MID,60,0.0,58,3,1,1,0,3,0,0,0,0,0,17.5,0,16.6,12,58,1,0,Arsenal,Liverpool,True,-1,8,16:00,1.2916666666666667,2016-08-14
2016-17,Alex Mccarthy,GK,45,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,0,0,0,0,Southampton,Watford,True,0,8,15:00,2.7777777777777777,2016-08-13
2016-17,Alex Oxlade-chamberlain,MID,60,0.0,32,6,2,0,1,1,0,0,0,0,0,6.5,19,39.4,23,32,0,0,Arsenal,Liverpool,True,-1,8,16:00,1.2916666666666667,2016-08-14
2016-17,Alex Pritchard,MID,45,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,0,0,0,0,Tottenham,Everton,False,0,8,15:00,1.3333333333333335,2016-08-13
2016-17,Allan-roméo Nyom,DEF,45,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,0,0,0,0,Watford,Southampton,False,0,8,15:00,0.36,2016-08-13
2016-17,Allan Mcgregor,GK,45,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,0,0,0,0,Hull,Leicester,True,1,8,12:30,0.4244444444444444,2016-08-13
2016-17,Almen Abdi,MID,50,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,0,0,0,0,Watford,Southampton,False,0,8,15:00,0.36,2016-08-13
2016-17,Ander Herrera,MID,65,0.0,90,1,1,0,0,1,0,0,0,0,0,13.1,0,9.4,11,90,1,0,Man United,Bournemouth,False,1,8,13:30,2.5675675675675675,2016-08-14
2016-17,Andreas Pereira,MID,45,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,0,0,0,0,Man United,Bournemouth,False,1,8,13:30,2.5675675675675675,2016-08-14
2016-17,Andrew Robertson,DEF,45,0.0,90,2,1,0,0,1,0,0,0,0,0,1.8,0,14.8,14,90,0,0,Hull,Leicester,True,1,8,12:30,0.4244444444444444,2016-08-13
2016-17,Andrew Surman,MID,50,0.0,90,2,1,0,0,3,0,0,0,0,0,5.0,17,12.2,19,90,0,0,Bournemouth,Man United,True,-1,8,13:30,0.38947368421052636,2016-08-14
2016-17,Andre Gray,FWD,65,0.0,90,2,1,0,0,1,0,0,0,0,0,2.3,42,0.0,-3,90,0,0,Burnley,Swansea,True,-1,8,15:00,1.3541666666666667,2016-08-13
2016-17,Andros Townsend,MID,65,0.0,90,2,1,0,0,1,0,0,0,0,0,32.8,46,23.2,17,90,0,0,Crystal Palace,West Brom,True,-1,8,15:00,2.25,2016-08-13
2016-17,André Ayew,MID,75,0.0,34,1,1,0,0,0,0,0,0,0,0,1.2,4,0.2,5,34,0,0,West Ham,Chelsea,False,-1,8,20:00,0.27499999999999997,2016-08-15
2016-17,Andy Carroll,FWD,65,0.0,90,2,1,0,0,2,0,0,0,0,0,17.0,4,10.6,7,90,0,0,West Ham,Chelsea,False,-1,8,20:00,0.27499999999999997,2016-08-15
2016-17,Andy King,MID,50,0.0,67,2,1,0,0,2,0,0,0,0,0,4.5,0,5.4,13,67,0,0,Leicester,Hull,False,-1,8,12:30,2.356020942408377,2016-08-13
2016-17,Angelo Ogbonna,DEF,50,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,0,0,0,0,West Ham,Chelsea,False,-1,8,20:00,0.27499999999999997,2016-08-15
2016-17,Angel Rangel,DEF,45,0.0,4,1,1,0,0,0,0,0,0,0,0,0.0,0,0.0,3,4,0,0,Swansea,Burnley,False,1,8,15:00,0.7384615384615384,2016-08-13
2016-17,Anthony Martial,MID,95,0.0,84,11,3,2,0,1,0,0,0,0,0,37.3,28,38.8,35,84,0,0,Man United,Bournemouth,False,1,8,13:30,2.5675675675675675,2016-08-14
2016-17,Antonio Barragán,DEF,45,0.0,90,2,1,0,0,1,0,0,0,0,0,0.3,4,17.8,14,90,0,0,Middlesbrough,Stoke,True,0,8,15:00,1.4285714285714286,2016-08-13
2016-17,Antonio Valencia,DEF,55,0.0,90,2,1,0,0,1,0,0,0,0,0,18.3,6,22.8,12,90,0,0,Man United,Bournemouth,False,1,8,13:30,2.5675675675675675,2016-08-14
2016-17,Arouna Koné,FWD,55,0.0,23,1,1,0,0,0,0,0,0,0,0,14.8,2,2.4,4,23,0,0,Everton,Tottenham,True,0,8,15:00,0.7499999999999999,2016-08-13
2016-17,Arthur Masuaku,DEF,50,0.0,90,1,1,0,0,2,0,0,0,0,0,1.4,0,16.4,19,90,0,0,West Ham,Chelsea,False,-1,8,20:00,0.27499999999999997,2016-08-15
2016-17,Artur Boruc,GK,45,0.0,90,2,1,0,0,3,4,0,0,0,0,0.0,0,30.2,15,90,0,0,Bournemouth,Man United,True,-1,8,13:30,0.38947368421052636,2016-08-14
2016-17,Ashley Barnes,FWD,45,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,0,0,0,0,Burnley,Swansea,True,-1,8,15:00,1.3541666666666667,2016-08-13
2016-17,Ashley Williams,DEF,50,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,0,0,0,0,Everton,Tottenham,True,0,8,15:00,0.7499999999999999,2016-08-13
2016-17,Ashley Young,MID,55,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,0,0,0,0,Man United,Bournemouth,False,1,8,13:30,2.5675675675675675,2016-08-14
2016-17,Asmir Begovic,GK,50,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,0,0,0,0,Chelsea,West Ham,True,1,8,20:00,3.6363636363636367,2016-08-15
2016-17,Bacary Sagna,DEF,55,0.0,90,2,1,0,0,1,0,0,0,0,0,6.6,12,5.4,15,90,0,0,Man City,Sunderland,True,1,8,17:30,12.0,2016-08-13
2016-17,Bafétimbi Gomis,FWD,65,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,0,0,0,0,Swansea,Burnley,False,1,8,15:00,0.7384615384615384,2016-08-13
2016-17,Bakary Sako,MID,55,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,0,0,0,0,Crystal Palace,West Brom,True,-1,8,15:00,2.25,2016-08-13
2016-17,Bamidele Alli,MID,85,0.0,90,2,1,0,0,1,0,0,0,0,0,16.9,11,2.2,6,90,0,0,Tottenham,Everton,False,0,8,15:00,1.3333333333333335,2016-08-13
