,season,name,position,value,adjusted_points_range,assists,goals_scored,goals_conceded,saves,own_goals,penalties_missed,penalties_saved,clean_sheets,creativity,threat,influence,bps,minutes,yellow_cards,red_cards,plays_for,opponent_team,was_home,is_won,month_of_match,time_of_match,win_expectation,date_of_match
4090,2017-18,Emre Can,MID,48,0,0,0,0,0,0,0,0,0,0.0,0,0.0,0,0,0,0,Liverpool,Everton,True,0,12,14:15,8.461538461538462,2017-12-10
4091,2017-18,Enner Valencia,FWD,50,0,0,0,0,0,0,0,0,0,0.0,0,0.0,0,0,0,0,West Ham,Chelsea,True,1,12,12:30,0.2,2017-12-09
4092,2017-18,Eric maxim Choupo-moting,MID,56,0,0,0,5,0,0,0,0,0,2.7,8,3.6,2,90,0,0,Stoke,Tottenham,False,-1,12,15:00,0.11636363636363636,2017-12-09
4093,2017-18,Eric Bailly,DEF,60,0,0,0,0,0,0,0,0,0,0.0,0,0.0,0,0,0,0,Man United,Man City,True,-1,12,16:30,0.663716814159292,2017-12-10
4094,2017-18,Eric Dier,MID,48,0,0,0,1,0,0,0,0,0,0.5,0,24.6,21,90,0,0,Tottenham,Stoke,True,1,12,15:00,8.59375,2017-12-09
4095,2017-18,Erik Lamela,MID,63,0,0,0,1,0,0,0,0,0,26.2,39,7.2,6,23,0,0,Tottenham,Stoke,True,1,12,15:00,8.59375,2017-12-09
4096,2017-18,Erik Pieters,DEF,48,0,0,0,5,0,0,0,0,0,15.1,2,13.4,11,90,0,0,Stoke,Tottenham,False,-1,12,15:00,0.11636363636363636,2017-12-09
4097,2017-18,Erwin Mulder,GK,40,0,0,0,0,0,0,0,0,0,0.0,0,0.0,0,0,0,0,Swansea,West Brom,True,1,12,15:00,1.111111111111111,2017-12-09
4098,2017-18,Ethan Ampadu,MID,45,0,0,0,0,0,0,0,0,0,0.0,0,0.0,0,0,0,0,Chelsea,West Ham,False,-1,12,12:30,5.0,2017-12-09
4099,2017-18,Etienne Capoue,MID,50,0,0,0,0,0,0,0,0,0,0.0,0,0.0,0,0,0,0,Watford,Burnley,False,-1,12,15:00,0.8666666666666667,2017-12-09
4100,2017-18,Ezequiel Schelotto,DEF,44,0,0,0,2,0,0,0,0,0,2.2,0,0.0,1,45,0,0,Brighton,Huddersfield,False,-1,12,15:00,0.9,2017-12-09
4101,2017-18,Fabian Delph,MID,45,0,0,0,1,0,0,0,0,0,16.6,0,10.6,13,90,0,0,Man City,Man United,False,1,12,16:30,1.5066666666666668,2017-12-10
4102,2017-18,Federico Fernández,DEF,45,0,0,0,0,0,0,0,0,0,0.0,0,0.0,0,0,0,0,Swansea,West Brom,True,1,12,15:00,1.111111111111111,2017-12-09
4103,2017-18,Fernando francisco Reges,MID,45,0,0,0,0,0,0,0,0,0,0.0,0,0.0,0,0,0,0,Man City,Man United,False,1,12,16:30,1.5066666666666668,2017-12-10
4104,2017-18,Fernando Llorente,FWD,74,0,0,0,0,0,0,0,0,0,0.0,8,0.0,3,4,0,0,Tottenham,Stoke,True,1,12,15:00,8.59375,2017-12-09
4105,2017-18,Fernando Luiz rosa,MID,52,0,0,0,1,0,0,0,0,0,27.0,9,16.4,19,90,0,0,Man City,Man United,False,1,12,16:30,1.5066666666666668,2017-12-10
4106,2017-18,Fikayo Tomori,DEF,45,0,0,0,0,0,0,0,0,0,0.0,0,0.0,0,0,0,0,Chelsea,West Ham,False,-1,12,12:30,5.0,2017-12-09
4107,2017-18,Florent Hadergjonaj,DEF,45,0,0,0,0,0,0,0,0,0,0.0,0,0.0,0,0,0,0,Huddersfield,Brighton,True,1,12,15:00,1.111111111111111,2017-12-09
4108,2017-18,Florian Lejeune,DEF,44,0,0,0,3,0,0,0,0,0,0.1,0,12.8,5,90,1,0,Newcastle,Leicester,True,-1,12,17:30,1.1030534351145038,2017-12-09
4109,2017-18,Francisco Femenía far,DEF,46,0,0,0,0,0,0,0,0,0,0.0,0,0.0,0,0,0,0,Watford,Burnley,False,-1,12,15:00,0.8666666666666667,2017-12-09
4110,2017-18,Francis Coquelin,MID,44,0,0,0,0,0,0,0,0,0,0.0,0,0.0,0,0,0,0,Arsenal,Southampton,False,0,12,12:00,2.0512820512820515,2017-12-10
4111,2017-18,Fraser Forster,GK,50,1,0,0,1,5,0,0,0,0,0.0,0,37.0,19,90,0,0,Southampton,Arsenal,True,0,12,12:00,0.4875,2017-12-10
4112,2017-18,Freddie Woodman,GK,40,0,0,0,0,0,0,0,0,0,0.0,0,0.0,0,0,0,0,Newcastle,Leicester,True,-1,12,17:30,1.1030534351145038,2017-12-09
4113,2017-18,Fredrik Ulvestad,MID,45,0,0,0,0,0,0,0,0,0,0.0,0,0.0,0,0,0,0,Burnley,Watford,True,1,12,15:00,1.1538461538461537,2017-12-09
4114,2017-18,Gabriel armando De abreu,DEF,50,0,0,0,0,0,0,0,0,0,0.0,0,0.0,0,0,0,0,Arsenal,Southampton,False,0,12,12:00,2.0512820512820515,2017-12-10
4115,2017-18,Gabriel fernando De jesus,FWD,103,0,0,0,1,0,0,0,0,0,3.4,39,11.2,3,58,0,0,Man City,Man United,False,1,12,16:30,1.5066666666666668,2017-12-10
4116,2017-18,Gareth Barry,MID,45,0,0,0,0,0,0,0,0,0,0.0,0,0.0,0,0,0,0,West Brom,Swansea,False,-1,12,15:00,0.9,2017-12-09
4117,2017-18,Gareth Mcauley,DEF,47,0,0,0,0,0,0,0,0,0,0.0,0,0.0,0,0,0,0,West Brom,Swansea,False,-1,12,15:00,0.9,2017-12-09
4118,2017-18,Gary Cahill,DEF,62,0,0,0,1,0,0,0,0,0,2.3,8,10.6,13,90,0,0,Chelsea,West Ham,False,-1,12,12:30,5.0,2017-12-09
4119,2017-18,Gaëtan Bong,DEF,44,0,0,0,0,0,0,0,0,0,0.0,0,0.0,0,0,0,0,Brighton,Huddersfield,False,-1,12,15:00,0.9,2017-12-09
4120,2017-18,Geoff Cameron,DEF,43,0,0,0,0,0,0,0,0,0,0.0,0,2.0,4,15,0,0,Stoke,Tottenham,False,-1,12,15:00,0.11636363636363636,2017-12-09
4121,2017-18,Georges-kévin Nkoudou,MID,54,0,0,0,0,0,0,0,0,0,0.0,0,0.0,0,0,0,0,Tottenham,Stoke,True,1,12,15:00,8.59375,2017-12-09
4122,2017-18,Georginio Wijnaldum,MID,67,0,0,0,0,0,0,0,0,0,0.0,0,0.0,0,0,0,0,Liverpool,Everton,True,0,12,14:15,8.461538461538462,2017-12-10
4123,2017-18,Giannelli Imbula,MID,45,0,0,0,0,0,0,0,0,0,0.0,0,0.0,0,0,0,0,Stoke,Tottenham,False,-1,12,15:00,0.11636363636363636,2017-12-09
4124,2017-18,Glenn Murray,FWD,58,0,0,0,2,0,0,0,0,0,2.2,11,2.6,-4,90,0,0,Brighton,Huddersfield,False,-1,12,15:00,0.9,2017-12-09
4125,2017-18,Glenn Whelan,MID,45,0,0,0,0,0,0,0,0,0,0.0,0,0.0,0,0,0,0,Stoke,Tottenham,False,-1,12,15:00,0.11636363636363636,2017-12-09
4126,2017-18,Glen Johnson,DEF,41,0,0,0,0,0,0,0,0,0,0.0,0,0.0,0,0,0,0,Stoke,Tottenham,False,-1,12,15:00,0.11636363636363636,2017-12-09
4127,2017-18,Gnegneri yaya Touré,MID,61,0,0,0,0,0,0,0,0,0,0.0,0,0.0,0,0,0,0,Man City,Man United,False,1,12,16:30,1.5066666666666668,2017-12-10
4128,2017-18,Granit Xhaka,MID,53,0,0,0,1,0,0,0,0,0,32.7,1,13.6,15,68,0,0,Arsenal,Southampton,False,0,12,12:00,2.0512820512820515,2017-12-10
4129,2017-18,Grant Hanley,DEF,40,0,0,0,0,0,0,0,0,0,0.0,0,0.0,0,0,0,0,Newcastle,Leicester,True,-1,12,17:30,1.1030534351145038,2017-12-09
4130,2017-18,Grzegorz Krychowiak,MID,50,0,0,0,0,0,0,0,0,0,0.0,0,0.0,0,0,0,0,West Brom,Swansea,False,-1,12,15:00,0.9,2017-12-09
