season,name,position,value,value_delta,minutes,total_points,total_points_range,assists,goals_scored,goals_conceded,saves,own_goals,penalties_missed,penalties_saved,clean_sheets,creativity,threat,influence,bps,minutes,yellow_cards,red_cards,plays_for,opponent_team,was_home,is_won,month_of_match,time_of_match,win_expectation,date_of_match
2019-20,Aaron Cresswell,DEF,50,0.0,90,0,0,0,0,5,0,0,0,0,0,1.5,0.0,9.0,7,90,0,0,West Ham,Man City,True,-1,8,12:30,0.10166666666666667,2019-08-10
2019-20,Aaron Lennon,MID,50,0.0,6,1,1,0,0,0,0,0,0,0,0,0.0,0.0,2.0,3,6,0,0,Burnley,Southampton,True,1,8,15:00,1.049618320610687,2019-08-10
2019-20,Aaron Mooy,MID,50,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,Brighton,Watford,False,1,8,15:00,0.475,2019-08-10
2019-20,Aaron Ramsdale,GK,45,0.0,90,2,1,0,0,1,2,0,0,0,0,0.0,0.0,9.8,11,90,0,0,Bournemouth,Sheffield United,True,0,8,15:00,1.8461538461538463,2019-08-10
2019-20,Aaron Wan-bissaka,DEF,55,0.0,90,8,2,0,0,0,0,0,0,0,1,16.1,2.0,30.4,34,90,0,0,Man United,Chelsea,True,1,8,16:30,1.6666666666666665,2019-08-11
2019-20,Abdoulaye Doucouré,MID,60,0.0,90,0,0,0,0,3,0,1,0,0,0,23.1,2.0,4.4,7,90,0,0,Watford,Brighton,True,-1,8,15:00,2.1052631578947367,2019-08-10
2019-20,Adama Traoré,MID,50,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,Wolves,Leicester,False,0,8,14:00,0.6470588235294118,2019-08-11
2019-20,Adam Lallana,MID,60,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,Liverpool,Norwich,True,1,8,20:00,16.666666666666668,2019-08-09
2019-20,Adam Masina,DEF,45,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,Watford,Brighton,True,-1,8,15:00,2.1052631578947367,2019-08-10
2019-20,Adam Smith,DEF,45,0.0,90,1,1,0,0,1,0,0,0,0,0,7.0,4.0,3.4,10,90,1,0,Bournemouth,Sheffield United,True,0,8,15:00,1.8461538461538463,2019-08-10
